अंस (अंस्)	 । चु॰	 सेट्	 उ॰ । 	अं॑सँ॑ 		समाघाते 	१०।	०४६० ॥
लल्	 । भ्वा॰	 सेट्	 प॰ । 	ल॑लँ॑ 		[विलासे] इत्येके (ईप्सायाम्) 	०१।	०४१६ ॥
लल्	 । चु॰	 सेट्	 आ॰ । 	ल॑लँ॒ 		ईप्सायाम् 	१०।	०२१० ॥
लष्	 । भ्वा॰	 सेट्	 उ॰ । 	ल॑षँ॒॑ 		कान्तौ 	०१।	१०३३ ॥
लस्	 । भ्वा॰	 सेट्	 प॰ । 	ल॑सँ॑ 		[शब्दे] श्लेषणक्रीडनयोः (च) 	०१।	०८११ ॥
लस्	 । चु॰	 सेट्	 उ॰ । 	ल॑सँ॑ 		शिल्पयोगे 	१०।	०२५३ ॥
लस्ज्	 । तु॰	 सेट्	 आ॰ । 	ओँ॑ल॑स्जीँ॒ 		व्रीडायाम् (व्रीडे) 	०६।	००११ ॥
ला	 । अ॰	 अनिट्	 प॰ । 	ला॒ 		आदाने (दाने) 	०२।	००५३ ॥
लाख्	 । भ्वा॰	 सेट्	 प॰ । 	ला॑खृँ॑ 		[शोषणालमर्थ्योः] 	०१।	०१३१ ॥
लाघ्	 । भ्वा॰	 सेट्	 आ॰ । 	ला॑घृँ॒ 		[सामर्थ्ये] 	०१।	०११९ ॥
लाज्	 । भ्वा॰	 सेट्	 प॰ । 	ला॑जँ॑ 		[[भर्जने] भर्त्सने च] 	०१।	०२७३ ॥
लाञ्छ्	 । भ्वा॰	 सेट्	 प॰ । 	ला॑छिँ॑ 		लक्षणे 	०१।	०२३५ ॥
लाञ्ज्	 । भ्वा॰	 सेट्	 प॰ । 	ला॑जिँ॑ 		[भर्जने] भर्त्सने च 	०१।	०२७४ ॥
लाभ (लाभ्)	 । चु॰	 सेट्	 उ॰ । 	ला॑भँ॑ 		प्रेरणे 	१०।	०४८२ ॥
लिख्	 । भ्वा॰	 सेट्	 प॰ । 	लि॑खँ॑ 		[गत्यर्थः [इत्यपि केचित्]] 	०१।	०१७० ॥
लिख्	 । तु॰	 सेट्	 प॰ । 	लि॑खँ॑ 		अक्षरविन्यासे 	०६।	००९२ ॥
लिङ्ख्	 । भ्वा॰	 सेट्	 प॰ । 	लि॑खिँ॑ 		[गत्यर्थः [इत्यपि केचित्]] 	०१।	०१७१ ॥
लिङ्ग्	 । भ्वा॰	 सेट्	 प॰ । 	लि॑गिँ॑ 		गत्यर्थाः 	०१।	०१६५ ॥
लिङ्ग्	 । चु॰	 सेट्	 उ॰ । 	लि॑गिँ॑ 		चित्रीकरणे 	१०।	०२६७ ॥
लिञ्ज्	 । चु॰	 सेट्	 उ॰ । 	लि॑जिँ॑ 		[भाषार्थः] 	१०।	०२८८ ॥
लिप्	 । तु॰	 अनिट्	 उ॰ । 	लि॒पँ॒॑ 		उपदेहे 	०६।	०१६९ ॥
लिश्	 । दि॰	 अनिट्	 आ॰ । 	लि॒शँ॒ 		अल्पीभावे 	०४।	००७६ ॥
लिश्	 । तु॰	 अनिट्	 प॰ । 	लि॒शँ॑ 		गतौ 	०६।	०१५७ ॥
लिह्	 । अ॰	 अनिट्	 उ॰ । 	लि॒हँ॒॑ 		आस्वादने 	०२।	०००६ ॥
ली	 । चु॰	 सेट्	 उ॰ । 	ली॑ 		द्रवीकरणे 	०४।	००३४ ॥
ली	 । दि॰	 अनिट्	 आ॰ । 	ली॒ङ् 		श्लेषणे 	०९।	००३६ ॥
ली	 । क्र्या॰	 अनिट्	 प॰ । 	ली॒ 		श्लेषणे 	१०।	०३४३ ॥
लुञ्च्	 । भ्वा॰	 सेट्	 प॰ । 	लु॑ञ्चँ॑ 		अपनयने 	०१।	०२१४ ॥
लुञ्ज्	 । चु॰	 सेट्	 उ॰ । 	लु॑जिँ॑ 		[भाषार्थः] 	१०।	००४९ ॥
लुञ्ज्	 । चु॰	 सेट्	 उ॰ । 	लु॑जिँ॑ 		हिंसाबलादाननिकेतनेषु 	१०।	०२८९ ॥
लुट्	 । भ्वा॰	 सेट्	 आ॰ । 	लु॑टँ॒ 		[उपघाते (प्रतिघाते)] 	०१।	०३५१ ॥
लुट्	 । चु॰	 सेट्	 उ॰ । 	लु॑टँ॑ 		[भाषार्थः] 	०४।	०१३३ ॥
लुट्	 । दि॰	 सेट्	 प॰ । 	लु॑टँ॑ 		विलोडने 	०६।	०१०९ ॥
लुट्	 । भ्वा॰	 सेट्	 प॰ । 	लु॑टँ॑ 		विलोडने 	०१।	०८५० ॥
लुट्	 । तु॰	 सेट्	 प॰ । 	लु॑टँ॑ 		संश्लेषणे 	१०।	०२८४ ॥
लुठ्	 । भ्वा॰	 सेट्	 आ॰ । 	लु॑ठँ॒ 		[उपघाते (प्रतिघाते)] 	०१।	०३९० ॥
लुठ्	 । भ्वा॰	 सेट्	 प॰ । 	लु॑ठँ॑ 		[उपघाते] 	०१।	०८५१ ॥
लुठ्	 । दि॰	 सेट्	 प॰ । 	लु॑ठँ॑ 		[विलोडने] इत्येके 	०४।	०१३४ ॥
लुठ्	 । तु॰	 सेट्	 प॰ । 	लु॑ठँ॑ 		[संश्लेषणे] इत्येके 	०६।	०११० ॥
लुड्	 । भ्वा॰	 सेट्	 प॰ । 	लु॑डँ॑ 		[विलोडने] इत्येके 	०१।	०३५२ ॥
लुड्	 । तु॰	 सेट्	 प॰ । 	लु॑डँ॑ 		[संश्लेषणे] इत्यन्ये 	०६।	०१११ ॥
लुण्ट्	 । चु॰	 सेट्	 उ॰ । 	लु॑ण्टँ॑ 		स्तेये 	१०।	००३९ ॥
लुण्ट्	 । भ्वा॰	 सेट्	 प॰ । 	लु॑टिँ॑ 		स्तेये 	०१।	०३७२ ॥
लुण्ठ्	 । चु॰	 सेट्	 उ॰ । 	लु॑ण्ठँ॑ 		[स्तेये] इति केचित् 	१०।	००४० ॥
लुण्ठ्	 । भ्वा॰	 सेट्	 प॰ । 	लु॑ठिँ॑ 		[स्तेये] इत्येके 	०१।	०३७४ ॥
लुण्ठ्	 । भ्वा॰	 सेट्	 प॰ । 	लु॑ठिँ॑ 		आलस्ये प्रतिघाते च 	०१।	०३९८ ॥
लुण्ठ्	 । भ्वा॰	 सेट्	 प॰ । 	लु॑ठिँ॑ 		गतौ 	०१।	०४०१ ॥
लुण्ड्	 । भ्वा॰	 सेट्	 प॰ । 	लु॑डिँ॑ 		[स्तेये] इत्यपरे 	०१।	०३७६ ॥
लुन्थ्	 । भ्वा॰	 सेट्	 प॰ । 	लु॑थिँ॑ 		[हिंसासङ्क्लेशनयोः] 	०१।	००४७ ॥
लुप्	 । तु॰	 अनिट्	 उ॰ । 	लु॒पॢँ॒॑॑ 		छेदने 	०६।	०१६७ ॥
लुप्	 । दि॰	 सेट्	 प॰ । 	लु॑पँ॑ 		विमोहने 	०४।	०१५० ॥
लुभ्	 । दि॰	 सेट्	 प॰ । 	लु॑भँ॑ 		गार्द्ध्ये (गार्ध्न्ये) 	०४।	०१५३ ॥
लुभ्	 । तु॰	 सेट्	 प॰ । 	लु॑भँ॑ 		विमोहने 	०६।	००२५ ॥
लुम्ब्	 । चु॰	 सेट्	 उ॰ । 	लु॑बिँ॑ 		[अदर्शने । अर्दन इत्येके] 	१०।	०१५९ ॥
लुम्ब्	 । भ्वा॰	 सेट्	 प॰ । 	लु॑बिँ॑ 		[अर्दने] 	०१।	०४९३ ॥
लू	 । क्र्या॰	 सेट्	 उ॰ । 	लू॑ञ् 		छेदने 	०९।	००१६ ॥
लूष्	 । भ्वा॰	 सेट्	 प॰ । 	लू॑षँ॑ 		[भूषायाम्] 	०१।	०७७१ ॥
लूष्	 । चु॰	 सेट्	 उ॰ । 	लू॑षँ॑ 		हिंसायाम् 	१०।	०१०० ॥
लेप्	 । भ्वा॰	 सेट्	 आ॰ । 	ले॑पृँ॒ 		गतौ 	०१।	०४३१ ॥
लोक्	 । चु॰	 सेट्	 उ॰ । 	लो॑कृँ॑ 		[भाषार्थः] 	१०।	०३०७ ॥
लोक्	 । भ्वा॰	 सेट्	 आ॰ । 	लो॑कृँ॒ 		दर्शने 	०१।	००८० ॥
लोच्	 । चु॰	 सेट्	 उ॰ । 	लो॑चृँ॑ 		[भाषार्थः] 	१०।	०३०८ ॥
लोच्	 । भ्वा॰	 सेट्	 आ॰ । 	लो॑चृँ॒ 		दर्शने 	०१।	०१८८ ॥
लोड्	 । भ्वा॰	 सेट्	 प॰ । 	लो॑डृँ॑ 		उन्मादे 	०१।	०४१३ ॥
लोष्ट्	 । भ्वा॰	 सेट्	 आ॰ । 	लो॑ष्टँ॒ 		सङ्घाते 	०१।	०२९१ ॥
वक्ष्	 । भ्वा॰	 सेट्	 प॰ । 	व॑क्षँ॑ 		रोषे । सङ्घात इत्येके 	०१।	०७५३ ॥
वख्	 । भ्वा॰	 सेट्	 प॰ । 	व॑खँ॑ 		[गत्यर्थः] 	०१।	०१३८ ॥
वङ्क्	 । भ्वा॰	 सेट्	 आ॰ । 	व॑किँ॒ 		[गत्यर्थः] 	०१।	००९३ ॥
वङ्क्	 । भ्वा॰	 सेट्	 आ॰ । 	व॑किँ॒ 		कौटिल्ये 	०१।	०१०० ॥
वङ्ख्	 । भ्वा॰	 सेट्	 प॰ । 	व॑खिँ॑ 		[गत्यर्थः] 	०१।	०१३९ ॥
वङ्ग्	 । भ्वा॰	 सेट्	 प॰ । 	व॑गिँ॑ 		[गत्यर्थः] 	०१।	०१५६ ॥
वङ्घ्	 । भ्वा॰	 सेट्	 आ॰ । 	व॑घिँ॒ 		[गत्याक्षेपे । गतौ गत्यारम्भे चेत्यपरे] 	०१।	०११६ ॥
वच्	 । चु॰	 सेट्	 उ॰ । 	व॑चँ॑ 		परिभाषणे 	०२।	००५८ ॥
वच्	 । अ॰	 अनिट्	 प॰ । 	व॒चँ॑ 		परिभाषणे 	१०।	०३८० ॥
वज्	 । भ्वा॰	 सेट्	 प॰ । 	व॑जँ॑ 		[गतौ] 	०१।	०२८५ ॥
वञ्च्	 । भ्वा॰	 सेट्	 प॰ । 	व॑ञ्चुँ॑ 		[गत्यर्थः] 	०१।	०२१६ ॥
वञ्च्	 । चु॰	 सेट्	 आ॰ । 	व॑ञ्चुँ॒ 		प्रलम्भने 	१०।	०२२७ ॥
वट (वट्)	 । चु॰	 सेट्	 उ॰ । 	व॑टँ॑ 		ग्रन्थे 	१०।	०३९५ ॥
वट (वट्)	 । चु॰	 सेट्	 उ॰ । 	व॑टँ॑ 		विभाजने 	१०।	०४६१ ॥
वट्	 । भ्वा॰	 सेट्	 प॰ । 	व॑टँ॑ 		[परिभाषणे] 	०१।	०८८८ ॥
वट्	 । भ्वा॰	 सेट्	 प॰ । 	व॑टँ॑ 		वेष्टने 	०१।	०३३७ ॥
वठ्	 । भ्वा॰	 सेट्	 प॰ । 	व॑ठँ॑ 		स्थौल्ये 	०१।	०३८२ ॥
वण्	 । भ्वा॰	 सेट्	 प॰ । 	व॑णँ॑ 		[शब्दार्थः] 	०१।	०५१४ ॥
वण्ट्	 । चु॰	 सेट्	 उ॰ । 	व॑टिँ॑ 		विभाजने 	१०।	००७३ ॥
वण्ट्	 । भ्वा॰	 सेट्	 प॰ । 	व॑टिँ॑ 		विभाजने 	०१।	०३७७ ॥
वण्ट् (वण्ट्)	 । चु॰	 सेट्	 उ॰ । 	व॑टिँ॑ 		[[प्रकाशने] इत्येके] 	१०।	०४६४ ॥
वण्ठ्	 । भ्वा॰	 सेट्	 आ॰ । 	व॑ठिँ॒ 		एकचर्यायाम् 	०१।	०२९५ ॥
वण्ड्	 । चु॰	 सेट्	 उ॰ । 	व॑डिँ॑ 		[विभाजने] इत्येके 	१०।	००७४ ॥
वण्ड्	 । भ्वा॰	 सेट्	 आ॰ । 	व॑डिँ॒ 		विभाजने 	०१।	०३०४ ॥
वद्	 । चु॰	 सेट्	 उ॰ । 	व॑दँ॒॑ 	(वदँ॒)	सन्देशवचने 	१०।	०३७९ ॥
वद्	 । भ्वा॰	 सेट्	 प॰ । 	व॑दँ॑ 		व्यक्तायां वाचि 	०१।	११६४ ॥
वन्	 । भ्वा॰	 सेट्	 प॰ । 	व॑नँ॑ 		[सम्भक्तौ] 	०१।	०५३४ ॥
वन्	 । भ्वा॰	 सेट्	 प॰ । 	व॑नुँ॑ 		च नोच्यते (नोपलभ्यते) 	०१।	०९१५ ॥
वन्	 । त॰	 सेट्	 आ॰ । 	व॑नुँ॒ 	(व॑नुँ॑)	याचने (मित् अनुपसर्गाद्वा - १।९४७) 	०८।	०००८ ॥
वन्	 । भ्वा॰	 सेट्	 प॰ । 	व॑नँ॑ 		शब्दे 	०१।	०५३३ ॥
वन्द्	 । भ्वा॰	 सेट्	 आ॰ । 	व॑दिँ॒ 		अभिवादनस्तुत्योः 	०१।	००११ ॥
वप्	 । भ्वा॰	 अनिट्	 उ॰ । 	डुव॒पँ॒॑ 	(टुव॒पँ॑)	बीजसन्ताने । छेदनेऽपि 	०१।	११५८ ॥
वभ्र्	 । भ्वा॰	 सेट्	 प॰ । 	व॑भ्रँ॑ 	(ब॑भ्रँ॑)	[गत्यर्थः] 	०१।	०६३८ ॥
वम्	 । भ्वा॰	 सेट्	 प॰ । 	टुव॑मँ॑ 		उद्गिरणे । (मित् अनुपसर्गाद्वा - १।९४८) 	०१।	०९८४ ॥
वय्	 । भ्वा॰	 सेट्	 आ॰ । 	व॑यँ॒ 		[गतौ] 	०१।	०५४७ ॥
वर (वर्)	 । चु॰	 सेट्	 उ॰ । 	व॑रँ॑ 		ईप्सायाम् 	१०।	०३९० ॥
वर्च्	 । भ्वा॰	 सेट्	 आ॰ । 	व॑र्चँ॒ 		दीप्तौ 	०१।	०१८६ ॥
वर्ण (वर्ण्)	 । चु॰	 सेट्	 उ॰ । 	व॑र्णँ॑ 		वर्णक्रियाविस्तारगुणवचनेषु । बहुलमेतन्निदर्शनम् (इत्येके) 	१०।	०४८४ ॥
वर्ण्	 । चु॰	 सेट्	 उ॰ । 	व॑र्णँ॑ 		[प्रेरणे] । वर्णँ वर्णन इत्येके 	१०।	००२५ ॥
वर्ध्	 । चु॰	 सेट्	 उ॰ । 	व॑र्धँ॑ 		छेदनपूरनयोः 	१०।	०१५६ ॥
वर्ष्	 । भ्वा॰	 सेट्	 आ॰ । 	व॑र्षँ॒ 		स्नेहने 	०१।	०६९७ ॥
वर्ह्	 । चु॰	 सेट्	 उ॰ । 	ब॑र्हँ॑ 	(व॑र्हँ॑)	[भाषार्थः] 	१०।	०१७५ ॥
वर्ह्	 । भ्वा॰	 सेट्	 आ॰ । 	व॑र्हँ॒ 		[परिभाषणहिंसाच्छादनेषु] 	०१।	०७२७ ॥
वर्ह्	 । चु॰	 सेट्	 उ॰ । 	व॑र्हँ॑ 		[हिंसायाम्] इत्येके 	१०।	०३०० ॥
वल्	 । भ्वा॰	 सेट्	 आ॰ । 	व॑ल॒ 	(ब॑ल॒)	[संवरणे सञ्चलने च] । [मित्] [इति भोजः] (०९३०) 	०१।	०५६४ ॥
वल्क्	 । चु॰	 सेट्	 उ॰ । 	व॑ल्कँ॑ 		परिभाषणे 	१०।	००५४ ॥
वल्ग्	 । भ्वा॰	 सेट्	 प॰ । 	व॑ल्गँ॑ 		[गत्यर्थः] 	०१।	०१५२ ॥
वल्भ्	 । भ्वा॰	 सेट्	 आ॰ । 	व॑ल्भँ॒ 		भोजने 	०१।	०४५६ ॥
वल्ल्	 । भ्वा॰	 सेट्	 आ॰ । 	व॑ल्लँ॒ 		संवरणे सञ्चलने च 	०१।	०५६५ ॥
वल्ह्	 । चु॰	 सेट्	 उ॰ । 	ब॑ल्हँ॑ 	(व॑ल्हँ॑)	[भाषार्थः] 	१०।	०३०१ ॥
वल्ह्	 । भ्वा॰	 सेट्	 आ॰ । 	व॑ल्हँ॒ 		परिभाषणहिंसाच्छादनेषु 	०१।	०७२८ ॥
वश्	 । अ॰	 सेट्	 प॰ । 	व॑शँ॑ 		कान्तौ 	०२।	००७५ ॥
वष्	 । भ्वा॰	 सेट्	 प॰ । 	व॑षँ॑ 		[हिंसार्थः] 	०१।	०७८७ ॥
वष्क्	 । भ्वा॰	 सेट्	 आ॰ । 	व॑स्कँ॒ 	(व॑ष्कँ॒)	[गत्यर्थः] 	०१।	०१०६ ॥
वस (वस्)	 । चु॰	 सेट्	 उ॰ । 	व॑सँ॑ 		निवासे 	१०।	०४८८ ॥
वस्	 । अ॰	 सेट्	 आ॰ । 	व॑सँ॒ 		आच्छादने 	०४।	०१११ ॥
वस्	 । भ्वा॰	 अनिट्	 प॰ । 	व॒सँ॑ 		निवासे 	०१।	११६० ॥
वस्	 । दि॰	 सेट्	 प॰ । 	व॑सुँ॑ 		स्तम्भे 	१०।	०२७३ ॥
वस्	 । चु॰	 सेट्	 उ॰ । 	व॑सँ॑ 		स्नेहच्छेदापहरणेषु 	०२।	००१३ ॥
वस्क्	 । भ्वा॰	 सेट्	 आ॰ । 	व॑स्कँ॒ 	(व॑ष्कँ॒)	[गत्यर्थः] 	०१।	०१०६ ॥
वस्त्	 । चु॰	 सेट्	 आ॰ । 	व॑स्तँ॒ 		[अर्दने] इत्येके 	१०।	०२०५ ॥
वह्	 । भ्वा॰	 अनिट्	 उ॰ । 	व॒हँ॒॑ 		प्रापणे 	०१।	११५९ ॥
वा	 । अ॰	 अनिट्	 प॰ । 	वा॒ 		गतिगन्धनयोः 	०२।	००४५ ॥
वाङ्क्ष्	 । भ्वा॰	 सेट्	 प॰ । 	वा॑क्षिँ॑ 		[काङ्क्षायाम्] 	०१।	०७६१ ॥
वाञ्छ्	 । भ्वा॰	 सेट्	 प॰ । 	वा॑छिँ॑ 		इच्छायाम् 	०१।	०२३६ ॥
वाड्	 । भ्वा॰	 सेट्	 आ॰ । 	वा॑डृ॒ 		[आप्लाव्ये] इत्येके 	०१।	०३२१ ॥
वात (वात्)	 । चु॰	 सेट्	 उ॰ । 	वा॑तँ॑ 		सुखसेवनयोः 	१०।	०४२४ ॥
वावृत्	 । दि॰	 सेट्	 आ॰ । 	वा॑वृ॑तुँ॒ 		[वरणे (वर्तने)] इति केचित् 	०४।	००५६ ॥
वाश्	 । दि॰	 सेट्	 आ॰ । 	वा॑शृँ॒ 		शब्दे 	०४।	००५९ ॥
वास (वास्)	 । चु॰	 सेट्	 उ॰ । 	वा॑सँ॑ 		उपसेवायाम् 	१०।	०४२६ ॥
वाह्	 । भ्वा॰	 सेट्	 आ॰ । 	बा॑हृँ॒ 	(वा॑हृँ॑)	प्रयत्ने 	०१।	०७३२ ॥
विच्	 । रु॰	 अनिट्	 उ॰ । 	वि॒चिँ॒॑र् 		पृथग्भावे 	०७।	०००५ ॥
विछ्	 । चु॰	 सेट्	 उ॰ । 	वि॑छँ॑ 		[भाषार्थः] 	०६।	०१५९ ॥
विछ्	 । तु॰	 सेट्	 प॰ । 	वि॑छँ॑ 		गतौ 	१०।	०३०४ ॥
विज्	 । जु॰	 अनिट्	 उ॰ । 	वि॒जिँ॒॑र् 		पृथग्भावे 	०३।	००१३ ॥
विज्	 । तु॰	 सेट्	 आ॰ । 	ओँ॑वि॑जीँ॒ 		भयचलनयोः 	०६।	०००९ ॥
विज्	 । रु॰	 सेट्	 प॰ । 	ओँ॑वि॑जीँ॑ 		भयचलनयोः 	०७।	००२३ ॥
विट्	 । भ्वा॰	 सेट्	 प॰ । 	वि॑टँ॑ 		शब्दे 	०१।	०३५४ ॥
विथ्	 । भ्वा॰	 सेट्	 आ॰ । 	वि॑थृँ॒ 		[याचने] 	०१।	००३३ ॥
विद्	 । चु॰	 सेट्	 आ॰ । 	वि॑दँ॒ 		चेतनाख्याननिवासेषु 	०२।	००५९ ॥
विद्	 । अ॰	 सेट्	 प॰ । 	वि॑दँ॑ 		ज्ञाने 	०४।	००६७ ॥
विद्	 । तु॰	 सेट्	 उ॰ । 	वि॑दॢँ॒॑॑ 		लाभे 	०७।	००१३ ॥
विद्	 । रु॰	 अनिट्	 आ॰ । 	वि॒दँ॒ 		विचारणे 	१०।	०२३२ ॥
विद्	 । दि॰	 अनिट्	 आ॰ । 	वि॒दँ॒ 		सत्तायाम् 	०६।	०१६८ ॥
विध्	 । तु॰	 सेट्	 प॰ । 	वि॑धँ॑ 		विधाने 	०६।	००५० ॥
विप्	 । चु॰	 सेट्	 उ॰ । 	वि॑पँ॑ 		[क्षेपे] चेत्येके 	१०।	०१३८ ॥
विल्	 । चु॰	 सेट्	 उ॰ । 	वि॑लँ॑ 		क्षेपे 	०६।	००८५ ॥
विल्	 । तु॰	 सेट्	 प॰ । 	वि॑लँ॑ 		संवरणे 	१०।	००९४ ॥
विश्	 । तु॰	 अनिट्	 प॰ । 	वि॒शँ॑ 		प्रवेशने 	०६।	०१६० ॥
विष्	 । भ्वा॰	 सेट्	 प॰ । 	वि॑षुँ॑ 		[सेचने] 	०१।	०७९४ ॥
विष्	 । क्र्या॰	 अनिट्	 प॰ । 	वि॒षँ॑ 		विप्रयोगे 	०९।	००६२ ॥
विष्	 । जु॰	 अनिट्	 उ॰ । 	वि॒षॢँ॒॑॑ 		व्याप्तौ 	०३।	००१४ ॥
विष्क (विष्क्)	 । चु॰	 सेट्	 उ॰ । 	वि॑ष्कँ॑ 		दर्शने 	१०।	०४८६ ॥
विष्क्	 । चु॰	 सेट्	 आ॰ । 	वि॑ष्कँ॒ 		हिंसायाम् 	१०।	०२०७ ॥
विस्	 । भ्वा॰	 सेट्	 प॰ । 	वि॑सँ॑ 		[गतौ] 	०१।	०८१८ ॥
विस्	 । दि॰	 सेट्	 प॰ । 	बि॑सँ॑ 		[प्रेरणे] इत्येके 	०४।	०१२४ ॥
वी	 । अ॰	 अनिट्	 प॰ । 	वी॒ 		गतिप्रजनकान्त्यसनखादनेषु 	०२।	००४३ ॥
वीज्	 । भ्वा॰	 सेट्	 आ॰ । 	वी॑जँ॒ 		गतौ) 	०१।	०२०९ ॥
वीर (वीर्)	 । चु॰	 सेट्	 आ॰ । 	वी॑रँ॒ 		विक्रान्तौ 	१०।	०४४५ ॥
वुङ्ग्	 । भ्वा॰	 सेट्	 प॰ । 	वु॑गिँ॑ 		[वर्जने] इत्येके 	०१।	०१७८ ॥
वुस्	 । दि॰	 सेट्	 प॰ । 	वु॑सँ॑ 		[विभागे] इति केचित् 	०४।	०११८ ॥
वृ	 । चु॰	 सेट्	 उ॰ । 	वृ॑ञ् 		आवरणे 	०१।	०८३७ ॥
वृ	 । स्वा॰	 सेट्	 उ॰ । 	वृ॑ञ् 		वरणे 	१०।	०००८ ॥
वृ	 । क्र्या॰	 सेट्	 आ॰ । 	वृ॑ङ् 		सम्भक्तौ 	०५।	०२९९ ॥
वृंह्	 । चु॰	 सेट्	 उ॰ । 	बृ॑हिँ॑ 	(वृ॑हिँ॑)	[भाषार्थः] 	१०।	०३४५ ॥
वृंह्	 । भ्वा॰	 सेट्	 प॰ । 	बृ॑हिँ॑ 	(वृ॑हिँ॑)	वृद्धौ । बृहिँ (वृहिँ) शब्दे च 	०९।	००४५ ॥
वृक्	 । भ्वा॰	 सेट्	 आ॰ । 	वृ॑कँ॒ 		आदाने 	०१।	००९७ ॥
वृक्ष्	 । भ्वा॰	 सेट्	 आ॰ । 	वृ॑क्षँ॒ 		वरणे 	०१।	०६८८ ॥
वृज्	 । चु॰	 सेट्	 उ॰ । 	वृ॑जीँ॑ 		वर्जने 	०२।	००२२ ॥
वृज्	 । अ॰	 सेट्	 आ॰ । 	वृ॑जीँ॒ 		वर्जने 	०७।	००२४ ॥
वृज्	 । रु॰	 सेट्	 प॰ । 	वृ॑जीँ॑ 		वर्जने 	१०।	०३४४ ॥
वृञ्ज्	 । अ॰	 सेट्	 आ॰ । 	वृ॑जिँ॒ 		[वर्जने] इत्येके 	०२।	००२३ ॥
वृण्	 । तु॰	 सेट्	 प॰ । 	वृ॑णँ॑ 		च [प्रीणने] 	०६।	००५६ ॥
वृत्	 । चु॰	 सेट्	 उ॰ । 	वृ॑तुँ॑ 		[भाषार्थः] 	०४।	००५५ ॥
वृत्	 । दि॰	 सेट्	 आ॰ । 	वृ॑तुँ॒ 		वरणे (वर्तने) 	१०।	०३१२ ॥
वृत्	 । भ्वा॰	 सेट्	 आ॰ । 	वृ॑तुँ॒ 		वर्तने 	०१।	०८६२ ॥
वृध्	 । चु॰	 सेट्	 उ॰ । 	वृ॑धुँ॑ 		भाषार्थाः 	१०।	०३१३ ॥
वृध्	 । भ्वा॰	 सेट्	 आ॰ । 	वृ॑धुँ॒ 		वृधौ 	०१।	०८६३ ॥
वृश्	 । दि॰	 सेट्	 प॰ । 	वृ॑शँ॑ 		वरणे 	०४।	०१३९ ॥
वृष्	 । भ्वा॰	 सेट्	 प॰ । 	वृ॑षुँ॑ 		[सेचने हिंसासङ्क्लेशनयोश्च] 	०१।	०८०३ ॥
वृष्	 । चु॰	 सेट्	 आ॰ । 	वृ॑षँ॒ 		शक्तिबन्धने 	१०।	०२२८ ॥
वृह्	 । भ्वा॰	 सेट्	 प॰ । 	बृ॑हँ॑ 	(वृ॑हँ॑)	[वृद्धौ] । बृहिँर् (वृहिँर्) [वृद्धौ [शब्दे च]] इत्येके 	०१।	०८३६ ॥
वृह्	 । तु॰	 सेट्	 प॰ । 	वृ॑हूँ॑ 		उद्यमने 	०६।	००७३ ॥
वॄ	 । क्र्या॰	 सेट्	 उ॰ । 	वॄ॑ञ् 		वरणे 	०९।	००१९ ॥
वॄ	 । क्र्या॰	 सेट्	 प॰ । 	वॄ॑ 		वरणे । भरण इत्येके 	०९।	००२३ ॥
वे	 । भ्वा॰	 अनिट्	 उ॰ । 	वे॒ञ् 		तन्तुसन्ताने 	०१।	११६१ ॥
वेण्	 । भ्वा॰	 सेट्	 उ॰ । 	वे॑णृँ॒॑ 		गतिज्ञानचिन्तानिशामनवादित्रग्रहणेषु 	०१।	१०१८ ॥
वेथ्	 । भ्वा॰	 सेट्	 आ॰ । 	वे॑थृँ॒ 		याचने 	०१।	००३४ ॥
वेन्	 । भ्वा॰	 सेट्	 उ॰ । 	वे॑नृँ॒॑ 		[गतिज्ञानचिन्तानिशामनवादित्रग्रहणेषु] इत्येके 	०१।	१०१९ ॥
वेप्	 । भ्वा॰	 सेट्	 आ॰ । 	टुवे॑पृ॒ 		कम्पने 	०१।	०४२५ ॥
वेल (वेल्)	 । चु॰	 सेट्	 उ॰ । 	वे॑लँ॑ 		कालोपदेशे 	१०।	०४२१ ॥
वेल्	 । भ्वा॰	 सेट्	 प॰ । 	वे॑लृँ॑ 		[चलने] 	०१।	०६१४ ॥
वेल्ल्	 । भ्वा॰	 सेट्	 प॰ । 	वे॑ल्लँ॑ 	(वे॑ह्लँ॑)	चलने 	०१।	०६१९ ॥
वेवी	 । अ॰	 सेट्	 आ॰ । 	वे॑वी॑ङ् 		वेतिना तुल्ये 	०२।	००७२ ॥
वेष्ट्	 । भ्वा॰	 सेट्	 आ॰ । 	वे॑ष्टँ॒ 		वेष्टने 	०१।	०२८८ ॥
वेस्	 । भ्वा॰	 सेट्	 प॰ । 	वे॑सँ॑ 		[गतौ] 	०१।	०८१९ ॥
वेह्	 । भ्वा॰	 सेट्	 आ॰ । 	वे॑हृँ॒ 	(बे॑हृँ॒)	[प्रयत्ने] 	०१।	०७३० ॥
वेह्ल्	 । भ्वा॰	 सेट्	 प॰ । 	वे॑ल्लँ॑ 	(वे॑ह्लँ॑)	चलने 	०१।	०६२० ॥
वै	 । भ्वा॰	 अनिट्	 प॰ । 	ओँ॑वै॑ 		शोषणे 	०१।	१०७० ॥
व्यच्	 । तु॰	 सेट्	 प॰ । 	व्य॑चँ॑ 		व्याजीकरणे 	०६।	००१३ ॥
