ए॑ठँ॒ 	*	च [विबाधायां] 	*	एठ्	*	 । भ्वा॰	*	०३०० ॥	*	 आ॰ । 	*	 सेट्
ए॑धँ॒ 	*	वृद्धौ 	*	एध्	*	 । भ्वा॰	*	०००२ ॥	*	 आ॰ । 	*	 सेट्
ए॑षृँ॒ 	*	[गतौ] 	*	एष्	*	 । भ्वा॰	*	०७०५ ॥	*	 आ॰ । 	*	 सेट्
ए॑षृँ॒ 	*	[प्रयत्ने] इत्येके 	*	एष्	*	 । भ्वा॰	*	०७०१ ॥	*	 आ॰ । 	*	 सेट्
ओ॑खृँ॑ 	*	[शोषणालमर्थ्योः] 	*	ओख्	*	 । भ्वा॰	*	०१२९ ॥	*	 प॰ । 	*	 सेट्
ओ॑णृँ॑ 	*	अपनयने 	*	ओण्	*	 । भ्वा॰	*	०५२३ ॥	*	 प॰ । 	*	 सेट्
ओँ॑ल॑डिँ॑ 	*	[उत्क्षेपने] इत्येके 	*	ओलण्ड्	*	 । चु॰	*	००१४ ॥	*	 उ॰ । 	*	 सेट्
क॑सिँ॒ 	*	गतिशासनयोः 	*	कंस्	*	 । अ॰	*	००१४ ॥	*	 आ॰ । 	*	 सेट्
क॑कँ॒ 	*	लौल्ये 	*	कक्	*	 । भ्वा॰	*	००९५ ॥	*	 आ॰ । 	*	 सेट्
क॑खँ॑ 	*	हसने 	*	कख्	*	 । भ्वा॰	*	०१२८ ॥	*	 प॰ । 	*	 सेट्
क॑खेँ॑ 	*	हसने 	*	कख्	*	 । भ्वा॰	*	०८९३ ॥	*	 प॰ । 	*	 सेट्
क॑गेँ॑ 	*	नोच्यते । क्रियासामान्यार्थत्वात् । अनेकार्थत्वादित्यन्ये 	*	कग्	*	 । भ्वा॰	*	०९०० ॥	*	 प॰ । 	*	 सेट्
क॑किँ॒ 	*	[गत्यर्थः] 	*	कङ्क्	*	 । भ्वा॰	*	००९९ ॥	*	 आ॰ । 	*	 सेट्
क॑चँ॒ 	*	बन्धने 	*	कच्	*	 । भ्वा॰	*	०१९२ ॥	*	 आ॰ । 	*	 सेट्
क॑जँ॑ 	*	मदे इत्येके 	*	कज्	*	 । भ्वा॰	*	०२६५ ॥	*	 प॰ । 	*	 सेट्
क॑चिँ॒ 	*	[दीप्तिबन्धनयोः] 	*	कञ्च्	*	 । भ्वा॰	*	०१९३ ॥	*	 आ॰ । 	*	 सेट्
क॑टीँ॑ 	*	गतौ 	*	कट्	*	 । भ्वा॰	*	०३३० ॥	*	 प॰ । 	*	 सेट्
क॑टेँ॑ 	*	वर्षावरणयोः 	*	कट्	*	 । भ्वा॰	*	०३५९ ॥	*	 प॰ । 	*	 सेट्
क॑ठँ॑ 	*	कृच्छ्रजीवने 	*	कठ्	*	 । भ्वा॰	*	०३८५ ॥	*	 प॰ । 	*	 सेट्
क॑डँ॑ 	*	मदे 	*	कड्	*	 । तु॰	*	०१०८ ॥	*	 प॰ । 	*	 सेट्
क॑डँ॑ 	*	मदे 	*	कड्	*	 । भ्वा॰	*	०४१७ ॥	*	 प॰ । 	*	 सेट्
क॑ड्डँ॑ 	*	कार्कश्ये 	*	कड्ड्	*	 । भ्वा॰	*	०४०४ ॥	*	 प॰ । 	*	 सेट्
